cv_scheme,feature_set,model,auc_mean,auc_std
5fold_x10,panel_presence,logistic_l1,0.693125,0.16638270079849046
8fold_x10,panel_presence,logistic_l1,0.6770833333333333,0.21745649309434034
3fold_x10,panel_presence,logistic_l1,0.6720521541950114,0.12471069095683952
8fold_x10,panel_presence_plus_diversity,logistic_l1,0.6666666666666666,0.2554951619459315
5fold_x10,panel_presence_plus_diversity,logistic_l1,0.656875,0.1959043532568891
3fold_x10,fuso_only,logistic_l1,0.6286281179138322,0.09857931090476729
3fold_x10,panel_presence_plus_diversity,logistic_l1,0.6255102040816326,0.12975896995935254
5fold_x10,fuso_only,logistic_l1,0.584375,0.18627202051032785
3fold_x10,panel_log,logistic_l1,0.5636054421768707,0.13837630434532433
8fold_x10,fuso_only,logistic_l1,0.559375,0.2585999128587548
3fold_x10,panel_log_plus_diversity,logistic_l1,0.5458049886621316,0.1377326577649201
5fold_x10,panel_log,logistic_l1,0.54125,0.16983907824761652
8fold_x10,panel_log,logistic_l1,0.5333333333333333,0.2756305901423538
5fold_x10,panel_log_plus_diversity,logistic_l1,0.53125,0.18211002855416833
8fold_x10,panel_log_plus_diversity,logistic_l1,0.5208333333333333,0.27685610983967024
5fold_x10,diversity_only,logistic_l1,0.41625,0.1848183229552741
8fold_x10,diversity_only,logistic_l1,0.4125,0.2813348637399133
3fold_x10,diversity_only,logistic_l1,0.38151927437641725,0.12316521233976604
