feature_set,model,n_features,auc_mean,auc_std,auc_min,auc_max,auc_2.5%,auc_97.5%
panel_presence,logistic_l1,35,0.693125,0.16638270079849046,0.34375,1.0,0.35078125,0.99296875
panel_presence_plus_diversity,logistic_l1,38,0.656875,0.1959043532568891,0.25,1.0,0.25,0.9859374999999999
panel_presence,logistic_l2,35,0.63875,0.18989717612434368,0.15625,0.9375,0.1875,0.93046875
panel_presence_plus_diversity,logistic_l2,38,0.61625,0.20387266246360738,0.125,1.0,0.2015625,0.9375
panel_presence,random_forest,35,0.60875,0.19113558669175135,0.1875,0.9375,0.21875,0.90625
fuso_only,random_forest,2,0.608125,0.1306847949265713,0.25,0.90625,0.375,0.8609374999999999
panel_presence_plus_diversity,random_forest,38,0.588125,0.19790800419639423,0.1875,1.0,0.22578125,0.9234374999999999
fuso_only,logistic_l1,2,0.584375,0.18627202051032785,0.1875,0.96875,0.19453125,0.9234374999999999
panel_log_plus_diversity,random_forest,38,0.574375,0.22289729277180556,0.125,1.0,0.1875,0.875
fuso_only,logistic_l2,2,0.573125,0.18228261882307922,0.1875,1.0,0.19453125,0.9476562499999999
panel_log,random_forest,35,0.566875,0.21185656261961772,0.1875,1.0,0.1875,0.9859374999999999
panel_log,logistic_l1,35,0.54125,0.16983907824761652,0.125,0.9375,0.2015625,0.7984374999999999
panel_log,logistic_l2,35,0.53875,0.19956593521941562,0.0625,1.0,0.1390625,0.875
panel_log_plus_diversity,logistic_l1,38,0.53125,0.18211002855416833,0.125,0.9375,0.153125,0.8125
panel_log_plus_diversity,logistic_l2,38,0.525,0.203100960115899,0.125,1.0,0.125,0.8609374999999999
diversity_only,random_forest,3,0.444375,0.17073943049278337,0.125,0.875,0.1390625,0.75
diversity_only,logistic_l1,3,0.41625,0.1848183229552741,0.0625,0.875,0.125,0.8125
diversity_only,logistic_l2,3,0.4125,0.16630168369562587,0.125,0.9375,0.1390625,0.7218749999999998
