feature,feature_source,healthy_mean,cancer_mean,mean_diff,abs_diff,p_value
panel_Lachnospira_present,presence,0.95,0.7,-0.25,0.25,0.04196077400042084
panel_Parvimonas_micra_present,presence,0.0,0.2,0.2,0.2,0.03981673008867252
panel_Collinsella_present,presence,0.6,0.75,0.15000000000000002,0.15000000000000002,0.3254434096483143
panel_Paraprevotella_present,presence,0.9,1.0,0.09999999999999998,0.09999999999999998,0.1624486736568368
panel_Klebsiella_present,presence,0.8,0.9,0.09999999999999998,0.09999999999999998,0.39387408059256734
panel_Phascolarctobacterium_present,presence,0.85,0.75,-0.09999999999999998,0.09999999999999998,0.44659188702413
panel_Bifidobacterium_longum_present,presence,0.65,0.75,0.09999999999999998,0.09999999999999998,0.5064659967089551
panel_Escherichia_coli_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Faecalibacterium_prausnitzii_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Faecalibacterium_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Escherichia_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Blautia_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Mediterraneibacter_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Roseburia_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Flavonifractor_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Enterocloster_present,presence,0.95,1.0,0.050000000000000044,0.050000000000000044,0.34211225261696354
panel_Fusobacterium_nucleatum_present,presence,0.0,0.05,0.05,0.05,0.34211225261696354
panel_Anaerostipes_hadrus_present,presence,0.9,0.95,0.04999999999999993,0.04999999999999993,0.5733589410669928
panel_Odoribacter_present,presence,0.8,0.85,0.04999999999999993,0.04999999999999993,0.6962805893746259
panel_Agathobacter_rectalis_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Roseburia_intestinalis_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Agathobacter_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Simiaoa_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Ruminococcus_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Bifidobacterium_present,presence,0.9,0.9,0.0,0.0,1.0
panel_Coprococcus_present,presence,0.95,0.95,0.0,0.0,1.0
panel_Vescimonas_present,presence,0.9,0.9,0.0,0.0,1.0
