feature,feature_source,healthy_mean,cancer_mean,mean_diff,abs_diff,p_value
panel_Kingevirus_log10,log10_abundance,-4.212815593790731,-5.037318220185362,-0.8245026263946311,0.8245026263946311,0.028083531281073385
panel_Parabacteroides_log10,log10_abundance,-1.9535469305496584,-1.57686901023397,0.3766779203156885,0.3766779203156885,0.11565411779010065
panel_Bacteroides_log10,log10_abundance,-1.446335063551314,-1.7012235643474534,-0.25488850079613945,0.25488850079613945,0.05309656402991463
panel_Buchavirus_log10,log10_abundance,-4.58430287286812,-4.3623190233693565,0.2219838494987636,0.2219838494987636,0.5105233316834765
panel_Romboutsia_log10,log10_abundance,-2.903156692783091,-3.11598215542679,-0.21282546264369895,0.21282546264369895,0.2919829279097431
panel_Roseburia_intestinalis_log10,log10_abundance,-2.672630258119624,-2.884266262039149,-0.21163600391952464,0.21163600391952464,0.41338229855323116
panel_Pseudomonas_log10,log10_abundance,-2.459674291328645,-2.662812955008664,-0.20313866368001898,0.20313866368001898,0.33591814918941487
panel_Burkholderia_log10,log10_abundance,-2.66944542904967,-2.872505193165682,-0.2030597641160119,0.2030597641160119,0.38374857176374744
panel_Bifidobacterium_longum_log10,log10_abundance,-3.0945751136471715,-3.291719011893231,-0.19714389824605938,0.19714389824605938,0.6579395053057199
panel_Faecalibacterium_prausnitzii_log10,log10_abundance,-2.0528793611879337,-2.239816886668381,-0.1869375254804475,0.1869375254804475,0.32397412145895466
panel_Fusobacterium_nucleatum_log10,log10_abundance,-5.183242303631728,-5.353080507179011,-0.1698382035472834,0.1698382035472834,0.14416357032105942
panel_Parvimonas_micra_log10,log10_abundance,-4.714093158236932,-4.8748569541259155,-0.16076379588898337,0.16076379588898337,0.33656625079466385
panel_Bifidobacterium_log10,log10_abundance,-2.5815651591475106,-2.7320840749557798,-0.15051891580826915,0.15051891580826915,0.5734670226105401
panel_Faecalibacterium_log10,log10_abundance,-1.7460822337602244,-1.8876071394658467,-0.14152490570562226,0.14152490570562226,0.5036459950959408
panel_Bacteroides_fragilis_log10,log10_abundance,-2.5907220374503024,-2.7227924409750774,-0.13207040352477506,0.13207040352477506,0.6235967468159008
panel_Ruminococcus_log10,log10_abundance,-2.4600535476514773,-2.5840698235478117,-0.12401627589633435,0.12401627589633435,0.5253606498283552
panel_Blautia_log10,log10_abundance,-1.7386945503994216,-1.8569078838480002,-0.11821333344857865,0.11821333344857865,0.6202015002534745
panel_Coprococcus_log10,log10_abundance,-2.7556968614492225,-2.872871381453236,-0.11717452000401352,0.11717452000401352,0.6133856232403141
panel_Streptococcus_log10,log10_abundance,-2.6348707317749955,-2.743606717154132,-0.10873598537913631,0.10873598537913631,0.39710093832376336
panel_Anaerostipes_hadrus_log10,log10_abundance,-2.5200718368882358,-2.628491224237674,-0.10841938734943835,0.10841938734943835,0.6580033405607795
panel_Blohavirus_log10,log10_abundance,-4.727449241522842,-4.6355775111981,0.09187173032474139,0.09187173032474139,0.5700642982479546
panel_Escherichia_coli_log10,log10_abundance,-3.0655227314000357,-3.156683204395539,-0.09116047299550312,0.09116047299550312,0.4188116353843432
panel_Phocaeicola_log10,log10_abundance,-2.2270638862065635,-2.3173699595698154,-0.09030607336325192,0.09030607336325192,0.35310546006933785
panel_Anaerobutyricum_log10,log10_abundance,-2.8407895292976972,-2.9278506396149058,-0.08706111031720853,0.08706111031720853,0.7289505519496979
panel_Anaerostipes_log10,log10_abundance,-2.4935814104166196,-2.575829127653369,-0.08224771723674928,0.08224771723674928,0.6614729756666622
panel_Collinsella_log10,log10_abundance,-3.454191262390683,-3.384464493849322,0.0697267685413614,0.0697267685413614,0.9078605092281483
panel_Canhaevirus_log10,log10_abundance,-4.386985673389448,-4.318043901237776,0.06894177215167208,0.06894177215167208,0.8316413331878101
panel_Escherichia_log10,log10_abundance,-3.05971697170871,-3.1269652353919364,-0.06724826368322656,0.06724826368322656,0.48234144013344804
panel_Agathobacter_log10,log10_abundance,-2.354009115423266,-2.408275887802029,-0.05426677237876287,0.05426677237876287,0.9808067195736536
panel_Agathobacter_rectalis_log10,log10_abundance,-2.3539376218164025,-2.407789390554368,-0.0538517687379656,0.0538517687379656,0.9808067195736536
panel_Dorea_log10,log10_abundance,-2.7619386795125545,-2.7104243383115296,0.05151434120102483,0.05151434120102483,1.0
panel_Akkermansia_log10,log10_abundance,-3.1450598706082276,-3.1945429809730364,-0.04948311036480879,0.04948311036480879,0.8624439331520113
panel_Mediterraneibacter_log10,log10_abundance,-2.2375032237107315,-2.206278226336746,0.03122499737398554,0.03122499737398554,0.7875962762502285
panel_Carjivirus_log10,log10_abundance,-3.277099756772894,-3.2705036674809564,0.006596089291937446,0.006596089291937446,1.0
