feature_set,model,n_features,auc_mean,auc_std,auc_min,auc_max,auc_2.5%,auc_97.5%
panel_log_plus_diversity,logistic_l1,38,0.651875,0.12651580928879996,0.359375,0.90625,0.39765625,0.887109375
panel_log_plus_diversity,logistic_l2,38,0.6228125,0.12191545802829927,0.34375,0.875,0.3734375,0.8332031249999999
panel_presence_plus_diversity,random_forest,38,0.6153125,0.11207123153378835,0.40625,0.875,0.40625,0.808984375
diversity_only,logistic_l1,3,0.6096875,0.13074642980307338,0.3125,0.859375,0.36640625,0.828125
diversity_only,logistic_l2,3,0.5984375,0.1314080150000372,0.28125,0.859375,0.347265625,0.82109375
panel_presence,logistic_l1,35,0.59484375,0.10706272347466461,0.359375,0.84375,0.378515625,0.793359375
panel_log,logistic_l1,35,0.5828125,0.11818326935844177,0.3125,0.8125,0.33359375,0.777734375
panel_presence_plus_diversity,logistic_l1,38,0.579375,0.10424767683262778,0.359375,0.8125,0.425390625,0.777734375
panel_presence,logistic_l2,35,0.573125,0.09895400209819713,0.3515625,0.78125,0.375,0.74296875
panel_log,logistic_l2,35,0.566875,0.12291384177544855,0.359375,0.875,0.362890625,0.8140624999999999
panel_presence_plus_diversity,logistic_l2,38,0.5625,0.0992648760891787,0.359375,0.796875,0.362890625,0.746484375
fuso_only,random_forest,2,0.531875,0.1252715799772638,0.21875,0.8359375,0.2744140625,0.74296875
panel_log,random_forest,35,0.5234375,0.14389428899803494,0.1875,0.828125,0.2162109375,0.808984375
panel_log_plus_diversity,random_forest,38,0.5175,0.15141390912000127,0.21875,0.8125,0.2361328125,0.7828124999999999
panel_presence,random_forest,35,0.5125,0.13453841807268285,0.25,0.859375,0.2751953125,0.8296874999999999
diversity_only,random_forest,3,0.4934375,0.1259471925550546,0.203125,0.734375,0.22578125,0.7056640624999999
fuso_only,logistic_l1,2,0.4584375,0.1233231273930401,0.140625,0.7109375,0.222265625,0.64921875
fuso_only,logistic_l2,2,0.45453125,0.11961741175645164,0.125,0.7109375,0.2283203125,0.64921875
