feature,importance_mean,importance_std
number_of_detected_species,0.20752500000000004,0.04062729993489599
panel_Collinsella_log10,0.17951250000000005,0.03290760977722326
panel_Parabacteroides_log10,0.17590000000000003,0.03039997944078253
panel_Bacteroides_log10,0.1672875,0.032256203376249966
panel_Kingevirus_log10,0.15730000000000005,0.02936075186366998
panel_Bifidobacterium_longum_log10,0.15208750000000004,0.024848481467687315
total_bacterial_abundance,0.07452500000000004,0.01792717908651553
panel_Mediterraneibacter_log10,0.05992500000000001,0.013603561114649354
Shannon_diversity,0.059600000000000014,0.017781117090891668
panel_Canhaevirus_log10,0.04605000000000002,0.015163401663215292
panel_Romboutsia_log10,0.039075000000000026,0.012160540695215832
panel_Akkermansia_log10,0.03722500000000003,0.01526748997052234
panel_Roseburia_intestinalis_log10,0.03180000000000002,0.01374752250407324
panel_Dorea_log10,0.030400000000000028,0.011312161597148446
panel_Ruminococcus_log10,0.02918750000000002,0.011439548996791794
panel_Buchavirus_log10,0.027350000000000013,0.012629677351381546
panel_Agathobacter_log10,0.025175000000000017,0.011813022475217769
panel_Streptococcus_log10,0.009137500000000031,0.005755282899215298
panel_Blohavirus_log10,0.009125000000000005,0.006696547617989445
panel_Bacteroides_fragilis_log10,0.004050000000000014,0.0029348126004908695
panel_Escherichia_coli_log10,0.0010000000000000365,0.003881043674065013
panel_Blautia_log10,0.0007250000000000201,0.0005640257086339449
panel_Fusobacterium_nucleatum_log10,0.00048750000000002513,0.0029535201455212824
panel_Faecalibacterium_prausnitzii_log10,0.000250000000000028,0.005028046340279682
panel_Pseudomonas_log10,0.0,0.0
panel_Parvimonas_micra_log10,0.0,0.0
panel_Escherichia_log10,0.0,0.0
panel_Agathobacter_rectalis_log10,0.0,0.0
panel_Anaerobutyricum_log10,0.0,0.0
panel_Phocaeicola_log10,0.0,0.0
panel_Burkholderia_log10,0.0,0.0
panel_Coprococcus_log10,0.0,0.0
panel_Anaerostipes_log10,0.0,0.0
panel_Bifidobacterium_log10,0.0,0.0
panel_Faecalibacterium_log10,0.0,0.0
panel_Carjivirus_log10,0.0,0.0
panel_Peptostreptococcus_anaerobius_log10,0.0,0.0
panel_Anaerostipes_hadrus_log10,0.0,0.0
