feature,feature_source,healthy_mean,cancer_mean,mean_diff,abs_diff,p_value
panel_Kingevirus_present,presence,0.45,0.15,-0.30000000000000004,0.30000000000000004,0.0036927229013102797
panel_Escherichia_coli_present,presence,0.9,0.7,-0.20000000000000007,0.20000000000000007,0.026752878752268016
panel_Escherichia_present,presence,0.9,0.7,-0.20000000000000007,0.20000000000000007,0.026752878752268016
panel_Buchavirus_present,presence,0.275,0.45,0.175,0.175,0.10695496679795254
panel_Bifidobacterium_present,presence,0.9,0.775,-0.125,0.125,0.13405642277855012
panel_Roseburia_intestinalis_present,presence,0.925,0.825,-0.10000000000000009,0.10000000000000009,0.18175523487544987
panel_Ruminococcus_present,presence,0.925,0.825,-0.10000000000000009,0.10000000000000009,0.18175523487544987
panel_Mediterraneibacter_present,presence,0.975,0.875,-0.09999999999999998,0.09999999999999998,0.0935982682841794
panel_Coprococcus_present,presence,0.85,0.75,-0.09999999999999998,0.09999999999999998,0.26955826256298243
panel_Anaerobutyricum_present,presence,0.8,0.725,-0.07500000000000007,0.07500000000000007,0.4373299900567724
panel_Anaerostipes_hadrus_present,presence,0.85,0.775,-0.07499999999999996,0.07499999999999996,0.3970877395596061
panel_Dorea_present,presence,0.85,0.775,-0.07499999999999996,0.07499999999999996,0.3970877395596061
panel_Carjivirus_present,presence,0.65,0.725,0.07499999999999996,0.07499999999999996,0.47578516961842365
panel_Burkholderia_present,presence,0.875,0.825,-0.050000000000000044,0.050000000000000044,0.5388721869317357
panel_Akkermansia_present,presence,0.8,0.75,-0.050000000000000044,0.050000000000000044,0.5992559800598418
panel_Bifidobacterium_longum_present,presence,0.775,0.725,-0.050000000000000044,0.050000000000000044,0.6123333011081584
panel_Collinsella_present,presence,0.6,0.65,0.050000000000000044,0.050000000000000044,0.6503708337220973
panel_Bacteroides_fragilis_present,presence,0.975,0.925,-0.04999999999999993,0.04999999999999993,0.31403017380156883
panel_Agathobacter_rectalis_present,presence,0.95,0.9,-0.04999999999999993,0.04999999999999993,0.4047969596282879
panel_Agathobacter_present,presence,0.95,0.9,-0.04999999999999993,0.04999999999999993,0.4047969596282879
panel_Streptococcus_present,presence,0.95,0.9,-0.04999999999999993,0.04999999999999993,0.4047969596282879
panel_Anaerostipes_present,presence,0.85,0.8,-0.04999999999999993,0.04999999999999993,0.5636083198155619
panel_Blautia_present,presence,1.0,0.975,-0.025000000000000022,0.025000000000000022,0.32956025996062066
panel_Faecalibacterium_present,presence,1.0,0.975,-0.025000000000000022,0.025000000000000022,0.32956025996062066
panel_Fusobacterium_nucleatum_present,presence,0.0,0.025,0.025,0.025,0.32956025996062066
panel_Parvimonas_micra_present,presence,0.15,0.125,-0.024999999999999994,0.024999999999999994,0.7530991763707632
panel_Blohavirus_present,presence,0.275,0.3,0.024999999999999967,0.024999999999999967,0.8108412977660568
panel_Romboutsia_present,presence,0.825,0.8,-0.02499999999999991,0.02499999999999991,0.7813702701051848
panel_Faecalibacterium_prausnitzii_present,presence,0.975,0.975,0.0,0.0,1.0
panel_Canhaevirus_present,presence,0.4,0.4,0.0,0.0,1.0
